,date,open,high,low,close,volume,average,barCount
2380,2022-08-31 12:48:20,3982.0,3982.0,3981.5,3982.0,38.0,3981.775,15
2381,2022-08-31 12:48:25,3982.25,3982.75,3981.75,3981.75,72.0,3982.225,30
2382,2022-08-31 12:48:30,3982.0,3982.25,3982.0,3982.0,53.0,3982.0,21
2383,2022-08-31 12:48:35,3982.0,3982.25,3981.75,3982.25,78.0,3981.9,19
2384,2022-08-31 12:48:40,3982.0,3982.75,3982.0,3982.5,56.0,3982.175,24
2385,2022-08-31 12:48:45,3982.25,3982.5,3982.25,3982.25,83.0,3982.275,25
2386,2022-08-31 12:48:50,3982.5,3982.75,3982.25,3982.25,131.0,3982.45,37
2387,2022-08-31 12:48:55,3982.5,3983.0,3982.5,3982.75,92.0,3982.8,32
2388,2022-08-31 12:49:00,3982.5,3983.5,3982.5,3983.0,229.0,3983.075,61
2389,2022-08-31 12:49:05,3983.25,3983.25,3982.5,3982.75,137.0,3982.9,42
2390,2022-08-31 12:49:10,3983.0,3983.0,3982.75,3983.0,33.0,3982.925,11
2391,2022-08-31 12:49:15,3982.75,3984.0,3982.75,3983.75,297.0,3983.6,103
2392,2022-08-31 12:49:20,3983.75,3984.5,3983.5,3983.5,217.0,3983.975,66
2393,2022-08-31 12:49:25,3983.75,3983.75,3983.0,3983.5,118.0,3983.35,39
2394,2022-08-31 12:49:30,3983.25,3983.25,3982.75,3982.75,122.0,3982.95,28
2395,2022-08-31 12:49:35,3982.75,3983.5,3982.75,3983.0,161.0,3983.1,48
2396,2022-08-31 12:49:40,3983.0,3983.25,3982.5,3982.5,54.0,3982.85,20
2397,2022-08-31 12:49:45,3982.75,3982.75,3982.25,3982.25,125.0,3982.475,44
2398,2022-08-31 12:49:50,3982.25,3982.75,3982.25,3982.75,26.0,3982.5,18
2399,2022-08-31 12:49:55,3982.75,3983.5,3982.75,3983.25,74.0,3983.125,20
2400,2022-08-31 12:50:00,3983.25,3983.25,3982.75,3982.75,116.0,3983.1,29
2401,2022-08-31 12:50:05,3982.75,3983.0,3982.5,3983.0,71.0,3982.625,22
2402,2022-08-31 12:50:10,3982.75,3983.0,3982.25,3982.75,106.0,3982.625,29
2403,2022-08-31 12:50:15,3982.75,3982.75,3982.25,3982.75,59.0,3982.55,21
2404,2022-08-31 12:50:20,3982.5,3983.0,3982.25,3982.75,30.0,3982.625,14
2405,2022-08-31 12:50:25,3982.75,3983.5,3982.75,3983.5,92.0,3983.2,31
2406,2022-08-31 12:50:30,3983.5,3983.5,3983.0,3983.25,61.0,3983.25,21
2407,2022-08-31 12:50:35,3983.25,3983.25,3982.25,3982.25,76.0,3982.55,22
2408,2022-08-31 12:50:40,3982.25,3983.0,3982.25,3982.25,73.0,3982.475,20
2409,2022-08-31 12:50:45,3982.25,3982.75,3982.25,3982.5,33.0,3982.45,13
2410,2022-08-31 12:50:50,3982.5,3982.75,3982.25,3982.5,35.0,3982.475,20
2411,2022-08-31 12:50:55,3982.5,3983.25,3982.5,3983.25,70.0,3982.85,20
2412,2022-08-31 12:51:00,3983.0,3983.0,3982.75,3982.75,86.0,3982.95,24
2413,2022-08-31 12:51:05,3982.75,3982.75,3982.25,3982.25,67.0,3982.5,22
2414,2022-08-31 12:51:10,3982.25,3982.25,3981.5,3982.0,157.0,3981.975,69
2415,2022-08-31 12:51:15,3982.0,3982.5,3982.0,3982.25,73.0,3982.175,27
2416,2022-08-31 12:51:20,3982.25,3982.25,3982.0,3982.0,66.0,3982.025,25
2417,2022-08-31 12:51:25,3982.25,3982.5,3982.25,3982.5,59.0,3982.35,20
2418,2022-08-31 12:51:30,3982.5,3982.5,3981.5,3981.5,73.0,3981.9,21
2419,2022-08-31 12:51:35,3981.25,3981.5,3981.25,3981.5,49.0,3981.425,24
